signal_date,buy_date,sell_date,portfolio_ret,benchmark_ret,excess_ret,n_stocks,top_stocks,cum_portfolio,cum_benchmark,cum_excess
2025-01-03,2025-01-06,2025-01-13,-0.008615453356632396,-0.011017192627527421,0.002401739270895025,10,"000858.SZ,000858.SZ,603296.SH,601360.SH,601360.SH,688396.SH,002916.SZ,605499.SH,600519.SH,300308.SZ",1.63258495889247,1.1234930353476058,1.4618330817374503
2025-01-10,2025-01-13,2025-01-20,0.06729659127801732,0.0334567535337492,0.03383983774426812,10,"000002.SZ,603986.SH,603893.SH,300308.SZ,301236.SZ,688169.SH,603296.SH,000063.SZ,000063.SZ,001979.SZ",1.742452361597695,1.1610814649281143,1.511301276032649
2025-01-17,2025-01-20,2025-01-27,0.002175720858440768,0.0012310581789342688,0.0009446626795064992,10,"688223.SH,300308.SZ,688303.SH,601988.SH,002384.SZ,000002.SZ,601298.SH,600938.SH,300347.SZ,601229.SH",1.7462434515456624,1.162510823761923,1.5127289459456075
2025-01-24,2025-01-27,2025-02-11,0.013576699637197211,0.025852958272663047,-0.012276258635465836,10,"600519.SH,600600.SH,000596.SZ,688041.SH,000333.SZ,300442.SZ,301269.SZ,300347.SZ,688303.SH,600436.SH",1.7699516743807207,1.1925651675801592,1.4941582941598235
2025-02-10,2025-02-11,2025-02-18,0.052978205956935684,0.0012728981873320901,0.051705307769603595,10,"301236.SZ,300251.SZ,600050.SH,601728.SH,688506.SH,000625.SZ,000625.SZ,000596.SZ,300394.SZ,300979.SZ",1.8637205387198856,1.1940831816202473,1.5714142086158631
2025-02-17,2025-02-18,2025-02-25,0.017754562370691528,0.00861163984932574,0.009142922521365787,10,"300251.SZ,600570.SH,600845.SH,600845.SH,600588.SH,000876.SZ,600050.SH,601127.SH,300759.SZ,688111.SH",1.8968100812661268,1.2043661959304979,1.5857815269742113
2025-02-24,2025-02-25,2025-03-04,-0.052626418685761914,-0.007754657459929616,-0.0448717612258323,10,"300347.SZ,688047.SH,688271.SH,000876.SZ,600570.SH,688169.SH,300418.SZ,600050.SH,002230.SZ,002594.SZ",1.7969877597620416,1.1950267486247383,1.5146247169394889
2025-03-03,2025-03-04,2025-03-11,-0.0012061818777071114,0.015625417329790704,-0.016831599207497817,10,"300059.SZ,302132.SZ,300782.SZ,002463.SZ,300394.SZ,601698.SH,300502.SZ,301269.SZ,000002.SZ,300866.SZ",1.7948202656917551,1.2136995402922628,1.4891311607541937
2025-03-10,2025-03-11,2025-03-18,0.030579584714319166,0.014477145917709076,0.01610243879661009,10,"300979.SZ,603799.SH,688506.SH,300476.SZ,300014.SZ,000408.SZ,300442.SZ,600989.SH,601898.SH,603986.SH",1.8497051240534528,1.2312704456373302,1.513109804130363
2025-03-17,2025-03-18,2025-03-25,-0.02803370716474688,-0.02028941794728719,-0.007744289217459691,10,"600522.SH,300274.SZ,300502.SZ,688111.SH,300308.SZ,600926.SH,601088.SH,300476.SZ,601018.SH,300832.SZ",1.7978510322646066,1.206288684959652,1.5013918441894036
2025-03-24,2025-03-25,2025-04-01,0.002966564920942984,-0.008885788300974765,0.011852353221917748,10,"300502.SZ,300832.SZ,605499.SH,300628.SZ,300476.SZ,600436.SH,000063.SZ,000063.SZ,300418.SZ,603259.SH",1.8031844740700038,1.1955698590752393,1.5191868706512428
2025-03-31,2025-04-01,2025-04-09,-0.1165923649673544,-0.05422394651333375,-0.06236841845402064,10,"300502.SZ,603893.SH,688506.SH,300476.SZ,600362.SH,000975.SZ,605499.SH,600176.SH,300866.SZ,600674.SH",1.592946931765767,1.1307413429837896,1.424437588192612
2025-04-08,2025-04-09,2025-04-16,0.04448518011064012,0.022303163957199,0.02218201615344112,10,"000876.SZ,301269.SZ,688506.SH,600276.SH,300502.SZ,002475.SZ,300418.SZ,300308.SZ,300866.SZ,600415.SH",1.6638094629320586,1.1559604525495404,1.4560344857834693
