month,stock_code,stock_name,industry,rank,score,pb,pe_ttm,roe_ttm,market_cap,volatility_20,excess_month,stock_return,stock_excess
2025-08,601598.SH,中国外运,交通运输,12,0.8546286339600568,0.97,10.29,4.8836,0.038688,0.009854644516011396,-0.2989742268383939,0.06570048309178733,-0.24107409658940487
2025-08,601298.SH,青岛港,交通运输,13,0.8430409471670041,1.28,10.6,6.5701,0.05640800000000001,0.008868589006059576,-0.2989742268383939,0.021659654548287666,-0.28511492513290454
2025-08,600582.SH,天地科技,机械设备,14,0.8394641043105484,1.0,7.68,8.3763,0.025866000000000004,0.012602565167949392,-0.2989742268383939,-0.025600000000000067,-0.3323745796811923
2025-08,601018.SH,宁波港,交通运输,15,0.8514437818848298,0.89,14.31,3.3008,0.070814,0.007722351731990974,-0.2989742268383939,-0.0027700831024930483,-0.30954466278368525
2025-08,600064.SH,南京高科,房地产,16,0.8353430616629585,0.68,6.91,7.3352,0.013064,0.009819250891087428,-0.2989742268383939,0.06490066225165547,-0.24187391742953673
2025-08,601000.SH,唐山港,交通运输,17,0.8455439370848705,1.13,13.13,4.2913,0.023881,0.006243840132666817,-0.2989742268383939,-0.02481389578163773,-0.33158847546282993
2025-08,600968.SH,海油发展,石油石化,18,0.8406299184621003,1.48,10.93,6.6785,0.040964999999999994,0.012041019157803107,-0.2989742268383939,0.00992555831265518,-0.296849021368537
2025-08,600023.SH,浙能电力,公用事业,19,0.8390586394868566,0.93,9.94,4.7763,0.069725,0.012217419594097275,-0.2989742268383939,-0.021359223300970953,-0.32813380298216316
2025-08,600642.SH,申能股份,公用事业,20,0.83476106209406,1.09,10.56,5.4179,0.040083,0.009466808968265369,-0.2989742268383939,-0.013431013431013383,-0.3202055931122056
2025-08,600050.SH,中国联通,通信,21,0.843496561781178,0.99,18.1,3.7974,0.166327,0.00671394004357316,-0.2989742268383939,0.072953463369682,-0.2338211163115102
2025-08,600177.SH,雅戈尔,纺织服饰,22,0.8327053984274516,0.82,12.91,4.0905,0.034121,0.006978004882179582,-0.2989742268383939,-0.0013850415512465242,-0.30815962123243873
2025-08,601319.SH,中国人保,非银金融,23,0.8225736871046311,1.29,7.72,9.5803,0.36086799999999997,0.014170480202737253,-0.2989742268383939,0.08872991967871502,-0.2180446600024772
2025-08,000543.SZ,皖能电力,公用事业,24,0.8267202279930105,1.0,7.83,6.7729,0.016094999999999998,0.010860491109878726,-0.2989742268383939,0.015492957746478853,-0.29128162193471335
2025-08,600483.SH,福能股份,公用事业,25,0.8251259095462434,1.01,8.93,5.2341,0.026272000000000004,0.008537196204680943,-0.2989742268383939,0.01599658739468901,-0.2907779922865032
2025-08,600998.SH,九州通,医药生物,26,0.8247721191423351,1.04,9.4,5.2553,0.027632999999999998,0.01237182401041405,-0.2989742268383939,-0.06386861313868619,-0.3706431928198784
2025-08,600008.SH,首创环保,环保,27,0.8319417449486871,1.07,6.36,3.0368,0.022682,0.009005677277038503,-0.2989742268383939,0.016393442622950838,-0.29038113705824137
2025-08,600583.SH,海油工程,石油石化,28,0.8259554196323138,0.91,10.9,4.1641,0.024273,0.010371181009265065,-0.2989742268383939,0.0036429872495444826,-0.3031315924316477
2025-08,600901.SH,江苏金租,非银金融,29,0.8168494328445529,1.34,11.15,6.4818,0.03348,0.013231297429358062,-0.2989742268383939,-0.031858407079646156,-0.33863298676083836
2025-08,000598.SZ,兴蓉环境,环保,30,0.8151076179755041,1.13,10.35,5.2916,0.021189,0.010826813054622395,-0.2989742268383939,-0.04929577464788726,-0.35607035432907946
2025-09,601668.SH,中国建筑,建筑装饰,1,0.8966090656050963,0.48,4.87,6.4329,0.22974099999999997,0.009626135494841887,-0.0328199624652975,0.0,-0.0341405281431552
2025-09,600018.SH,上港集团,交通运输,2,0.8830850466372825,0.95,8.93,5.9571,0.130143,0.008868365736863486,-0.0328199624652975,-0.010830324909747224,-0.044970853052902424
2025-09,601077.SH,渝农商行,银行,3,0.8790432496650917,0.55,6.11,5.7341,0.07245800000000001,0.00952378759102223,-0.0328199624652975,0.01133309587799114,-0.02280743226516406
2025-09,600023.SH,浙能电力,公用事业,4,0.8742874562216191,0.93,9.3,4.7763,0.06825,0.006897974371470098,-0.0328199624652975,0.01388888888888884,-0.02025163925426636
