date,stock_code,prediction,pred_rank
2023-08-16,601939.SH,-3.9647464e-05,13
2023-08-23,000001.SZ,-0.0023551409,34
2023-08-23,000002.SZ,-0.0016016148,28
2023-08-23,000333.SZ,-0.002360867,35
2023-08-23,000568.SZ,0.00051312573,15
2023-08-23,000651.SZ,-0.0021860276,32
2023-08-23,000725.SZ,-0.000568933,21
2023-08-23,000858.SZ,-3.4158933e-05,18
2023-08-23,002027.SZ,-0.000101249956,19
2023-08-23,002142.SZ,-0.0011364045,23
2023-08-23,002230.SZ,0.0036366961,8
2023-08-23,002304.SZ,-0.003050016,39
2023-08-23,002352.SZ,-0.0027381082,36
2023-08-23,002415.SZ,-0.0059438488,48
2023-08-23,002475.SZ,-0.0053262464,46
2023-08-23,002594.SZ,-0.0012777527,25
2023-08-23,002714.SZ,-0.002239046,33
2023-08-23,300015.SZ,-0.002909269,38
2023-08-23,300059.SZ,0.0047908374,5
2023-08-23,300750.SZ,-0.005456204,47
2023-08-23,300760.SZ,0.0044073877,6
2023-08-23,600000.SH,0.003082685,9
2023-08-23,600028.SH,-0.0045303134,45
2023-08-23,600030.SH,0.0038966255,7
2023-08-23,600031.SH,-0.002822195,37
2023-08-23,600036.SH,-0.0012231937,24
2023-08-23,600050.SH,-0.00046487793,20
2023-08-23,600104.SH,0.005066794,4
2023-08-23,600276.SH,0.013358673,1
2023-08-23,600309.SH,-0.0035429935,42
2023-08-23,600438.SH,-0.00398318,44
2023-08-23,600519.SH,-0.001057725,22
2023-08-23,600585.SH,0.0074881627,3
2023-08-23,600690.SH,-0.0015708085,26
2023-08-23,600809.SH,0.0006238901,14
2023-08-23,600887.SH,-0.0020626895,31
2023-08-23,600900.SH,0.008323789,2
2023-08-23,601012.SH,-0.013227175,49
2023-08-23,601138.SH,-0.03308413,50
2023-08-23,601166.SH,0.0016665508,13
2023-08-23,601225.SH,-0.0033444439,41
2023-08-23,601288.SH,0.0020428053,10
2023-08-23,601318.SH,-0.00198092,30
2023-08-23,601398.SH,0.0016743573,12
2023-08-23,601601.SH,-0.0015709423,27
2023-08-23,601668.SH,-0.0019007791,29
2023-08-23,601857.SH,-0.0032449935,40
2023-08-23,601888.SH,-0.0037838342,43
2023-08-23,601899.SH,4.615444e-05,17
2023-08-23,601919.SH,0.00011894565,16
2023-08-23,601939.SH,0.0017088794,11
2023-08-30,000001.SZ,0.0029467654,10
2023-08-30,000002.SZ,0.0028250995,11
2023-08-30,000333.SZ,-0.001990372,40
2023-08-30,000568.SZ,-0.0037566838,44
2023-08-30,000651.SZ,0.0009814807,22
2023-08-30,000725.SZ,-0.0009203959,38
2023-08-30,000858.SZ,0.0049186843,8
2023-08-30,002027.SZ,0.0002936896,28
2023-08-30,002142.SZ,0.0024855705,13
2023-08-30,002230.SZ,0.016969558,2
2023-08-30,002304.SZ,0.00014466803,29
2023-08-30,002352.SZ,0.0057223416,5
2023-08-30,002415.SZ,-0.0026302973,42
2023-08-30,002475.SZ,-0.0020460093,41
2023-08-30,002594.SZ,-0.0006839018,35
2023-08-30,002714.SZ,0.0006375129,25
2023-08-30,300015.SZ,-0.0007271774,36
2023-08-30,300059.SZ,0.02727406,1
2023-08-30,300750.SZ,-0.0028653636,43
2023-08-30,300760.SZ,-0.0070711463,46
2023-08-30,600000.SH,0.0011692321,19
2023-08-30,600028.SH,-0.0050632707,45
2023-08-30,600030.SH,0.00083320064,23
2023-08-30,600031.SH,-1.5259116e-05,30
2023-08-30,600036.SH,0.0004005071,26
2023-08-30,600050.SH,-0.00016719248,31
2023-08-30,600104.SH,0.0011692321,19
2023-08-30,600276.SH,-0.010111783,49
2023-08-30,600309.SH,-0.0005193428,34
2023-08-30,600438.SH,0.0004005071,26
2023-08-30,600519.SH,0.0052090813,6
2023-08-30,600585.SH,-0.0018126109,39
2023-08-30,600690.SH,-0.0008128774,37
2023-08-30,600809.SH,-0.009094924,48
2023-08-30,600887.SH,0.0027411892,12
2023-08-30,600900.SH,0.001025643,21
2023-08-30,601012.SH,0.007324751,4
2023-08-30,601138.SH,-0.01398594,50
2023-08-30,601166.SH,0.0014762558,16
2023-08-30,601225.SH,0.0013860858,17
2023-08-30,601288.SH,-0.0072974334,47
2023-08-30,601318.SH,0.0006775181,24
2023-08-30,601398.SH,0.001227094,18
2023-08-30,601601.SH,0.008441776,3
2023-08-30,601668.SH,0.00453672,9
2023-08-30,601857.SH,-0.00050199474,33
2023-08-30,601888.SH,0.0051603196,7
2023-08-30,601899.SH,0.0020500463,14
2023-08-30,601919.SH,-0.00048819993,32
2023-08-30,601939.SH,0.0015046021,15
2023-09-06,000001.SZ,0.0014498153,13
2023-09-06,000002.SZ,-0.00350305,41
2023-09-06,000333.SZ,-0.0024338095,38
2023-09-06,000568.SZ,-0.008918722,47
2023-09-06,000651.SZ,-0.00024100626,28
2023-09-06,000725.SZ,1.6126784e-05,25
2023-09-06,000858.SZ,-0.0048587387,44
2023-09-06,002027.SZ,-0.00075040566,30
2023-09-06,002142.SZ,0.0029800506,9
2023-09-06,002230.SZ,-0.0010808035,32
2023-09-06,002304.SZ,-6.9801463e-06,26
2023-09-06,002352.SZ,-0.0025760068,40
2023-09-06,002415.SZ,0.0031204142,8
2023-09-06,002475.SZ,0.00020596058,24
2023-09-06,002594.SZ,-0.0095902495,48
2023-09-06,002714.SZ,0.00053341285,20
2023-09-06,300015.SZ,-0.00016185534,27
2023-09-06,300059.SZ,0.0006824957,18
2023-09-06,300750.SZ,-0.00029016373,29
2023-09-06,300760.SZ,0.0022859406,12
2023-09-06,600000.SH,0.00081474317,16
2023-09-06,600028.SH,-0.00083087495,31
2023-09-06,600030.SH,0.019064693,1
2023-09-06,600031.SH,0.0003697826,22
2023-09-06,600036.SH,0.00048311235,21
2023-09-06,600050.SH,0.0038866159,5
2023-09-06,600104.SH,0.003183892,7
2023-09-06,600276.SH,-0.0019445597,36
2023-09-06,600309.SH,-0.0011420058,33
2023-09-06,600438.SH,0.00072292134,17
2023-09-06,600519.SH,-0.006895695,45
2023-09-06,600585.SH,0.0023573656,11
2023-09-06,600690.SH,-0.0016692297,35
2023-09-06,600809.SH,-0.018865364,50
2023-09-06,600887.SH,0.005214994,3
2023-09-06,600900.SH,0.0034023249,6
2023-09-06,601012.SH,-0.002510187,39
2023-09-06,601138.SH,-0.008205467,46
2023-09-06,601166.SH,0.0027775033,10
2023-09-06,601225.SH,0.0014404254,14
2023-09-06,601288.SH,0.004372859,4
2023-09-06,601318.SH,0.00036797428,23
2023-09-06,601398.SH,0.0005532923,19
2023-09-06,601601.SH,-0.011233611,49
2023-09-06,601668.SH,-0.0047447374,43
2023-09-06,601857.SH,0.0053654183,2
2023-09-06,601888.SH,-0.0042932397,42
2023-09-06,601899.SH,-0.002321083,37
2023-09-06,601919.SH,-0.001646255,34
2023-09-06,601939.SH,0.0013165028,15
2023-09-13,000001.SZ,0.0009399943,20
2023-09-13,000002.SZ,-0.007223701,43
2023-09-13,000333.SZ,-0.0028477644,34
2023-09-13,000568.SZ,-0.004359818,38
2023-09-13,000651.SZ,-0.004414851,39
2023-09-13,000725.SZ,0.00029414624,21
2023-09-13,000858.SZ,-0.010387897,46
2023-09-13,002027.SZ,-0.0004140506,22
2023-09-13,002142.SZ,0.0020563859,15
2023-09-13,002230.SZ,-0.011313783,49
2023-09-13,002304.SZ,-0.0036000703,37
2023-09-13,002352.SZ,-0.0035086859,36
2023-09-13,002415.SZ,0.0034018452,5
2023-09-13,002475.SZ,0.007865396,1
2023-09-13,002594.SZ,-0.013578678,50
2023-09-13,002714.SZ,0.0029610025,9
2023-09-13,300015.SZ,0.0009783723,19
2023-09-13,300059.SZ,-0.002518061,32
2023-09-13,300750.SZ,-0.0061052176,42
2023-09-13,300760.SZ,-0.008018299,44
